video_id,author,comment_id,comment_text,like_count,published_at,comment_link
XiCrniLQGYc,@Gristoufle2,UgxVbM2oKUIfZrZEz7p4AaABAg,"This format is super helpful.
Thanks",10,2024-11-20T15:59:28Z,https://www.youtube.com/watch?v=XiCrniLQGYc&lc=UgxVbM2oKUIfZrZEz7p4AaABAg
XiCrniLQGYc,@terrorist6928,UgyovmvdP2Qii0PMIWd4AaABAg,"Black dog??
That's racist and WHO couldn't do anything significant against hunger and treatment in Africa",33,2020-03-22T10:23:32Z,https://www.youtube.com/watch?v=XiCrniLQGYc&lc=UgyovmvdP2Qii0PMIWd4AaABAg
XiCrniLQGYc,@blaugranisto,UgzVMq1X3BdYVwGX9SR4AaABAg,This is so real 😔,13,2020-01-23T10:06:04Z,https://www.youtube.com/watch?v=XiCrniLQGYc&lc=UgzVMq1X3BdYVwGX9SR4AaABAg
XiCrniLQGYc,@foxicilysleeps,UgwyCXudJG0-wjF9EyF4AaABAg,"We watched this video in class, and some students started laughing and someone said ""depression isn't even real. There are just idiot people who can't enjoy life""

Well, me and some other people got very emotional at this point, cuz we are *depressed*",48,2020-01-22T15:22:16Z,https://www.youtube.com/watch?v=XiCrniLQGYc&lc=UgwyCXudJG0-wjF9EyF4AaABAg
XiCrniLQGYc,@bradhammond7691,UgwukDvSr2WOiprS52Z4AaABAg,Get well soon guys. When you hit rock bottom the only way is back up! And you will get there 🇬🇧,33,2020-01-17T17:50:32Z,https://www.youtube.com/watch?v=XiCrniLQGYc&lc=UgwukDvSr2WOiprS52Z4AaABAg
XiCrniLQGYc,@exaliaos,UgwIp6dsVL_Gsc1rXgd4AaABAg,"I wanted to come years later to this video to say that it came to me at a point that it helped change my life in coming out of depression.


6 years ago, I was a teenager suffering from depression, and I felt incredibly stuck. There wasn't any awareness about depression around me (and I didn't know what I was suffering was called 'depression'). My family also couldn't afford medications or therapists - we were poor

I remember it was a combination of two things - my teacher who told me 'you have potential', and she really meant it. No one ever seemed to believe in me then.
And then there was this video. I remember I wanted to know what my symptoms were, and then not too long after looking, I found this video. And I realized I've been suffering depression all this time. 
I then thought ""Maybe if I just keep reading about it there is a way out"" - I saw this light of hope even though I was in a very dark place. I kept reading, and one day I told myself ""This is it. I am born with this life for a reason and I will not let ANYTHING or ANYONE stop me in living a good life"".

It was incredibly tough. I remember it was one of the hardest battles and it took months of trying to follow the advice I read on the internet - ""smile - just the act of it helps physiologically"", ""be around people"", ""distinguish the voice in your head that's depression"" and etc. I kept doing it every day, and I didn't give up because I knew that I will not let anything stop me from living that good life I was meant to.


After about 1.5 months, I started feeling results. After about 3 months of consciously fighting every single day, I felt that I am starting to come out of it, and even though I was still to suffer anxiety for 2 years after, actively fighting depression starting to come out of it was the hardest part. 


6 years later, I live a healthy life and I am still not going to let anything/anyone stop me from living up to my life value, and all these things just made me so much stronger than many people. 

If you are suffering depression - I know its hard, but believe me, there is hope, and you CAN do it. You are meant to do great things with your life and your life is given to you with a purpose. You are valuable and you are important. Don't let ANYTHING or ANYONE stop you from it. You CAN do it. Read, practice what you read, and don't give up. I genuinely believe in you.",50,2020-01-15T17:53:40Z,https://www.youtube.com/watch?v=XiCrniLQGYc&lc=UgwIp6dsVL_Gsc1rXgd4AaABAg
XiCrniLQGYc,@ChillFrost,Ugxw2BCGEqJqmEqBEUx4AaABAg,"I went to a doc before... she showed me this. While I love dogs, we need to see the details -not as a dog, but a representation of how we dealt with depression.",10,2020-01-15T05:19:14Z,https://www.youtube.com/watch?v=XiCrniLQGYc&lc=Ugxw2BCGEqJqmEqBEUx4AaABAg
XiCrniLQGYc,@isoexe,Ugx8Kw1xWPoLCKvY56R4AaABAg,A dog never makes depression. It's people. Perhaps a bad fat jerk lived in his life. A big fat bad version of himself. So..live with yourself. We have to change not others. Bad and uncreative Video,5,2020-01-11T10:15:12Z,https://www.youtube.com/watch?v=XiCrniLQGYc&lc=Ugx8Kw1xWPoLCKvY56R4AaABAg
XiCrniLQGYc,@BoyNamedSue4,UgzCrlWOr81vtG3l5Q14AaABAg,"I just got out of the hospital after stay there for over a week because of suicidal thoughts caused by my depression. They played this video I cried like a baby. It’s like someone had hacked into my brain and made a video about this terrible illness. 

Please remember no matter who you are. You are not alone and there is help out there. Don’t let it wait until you hit rock bottom like I did.",60,2020-01-08T03:49:17Z,https://www.youtube.com/watch?v=XiCrniLQGYc&lc=UgzCrlWOr81vtG3l5Q14AaABAg
XiCrniLQGYc,@foxicilysleeps,Ugw-VcMAsWyNrcWri314AaABAg,"Now there's just one thing... Should I send it to my mom, so she would understand what I feel...",5,2019-12-29T21:15:03Z,https://www.youtube.com/watch?v=XiCrniLQGYc&lc=Ugw-VcMAsWyNrcWri314AaABAg
