﻿post_id,caption,comment,timestamp,mental_health,category,severity
116731404135364815,"NEET aspirants report anxiety, disrupted routines and loss of confidence after exam cancellation amid paper leak allegations https:// english.mathrubhumi.com/educat ion/news/neet-ug-aspirants-anxiety-exam-cancellation-retest-june-21-l6b82onz?utm_source=dlvr.it&utm_medium=mastodon # NEETUG # NEET2026 # NTA # MedicalEntrance # ExamStress",,2026-06-11 12:11:12.674000+00:00,Yes,Education,Medium
116067325830542819,Kolkata Madhyamik student dies by suicide in Topsia; family cites Mathematics exam stress. https:// english.mathrubhumi.com/news/i ndia/kolkata-student-suicide-math-exam-stress-fcw46fxa?utm_source=dlvr.it&utm_medium=mastodon # KolkataNews # Madhyamik # ExamStress # StudentTragedy # Topsia,,2026-02-14 05:27:21.905000+00:00,Yes,Education,High
115094126727395596,"📚 Matric can be stressful for both students and parents, but small steps can make a big difference. 💙 From managing revision stress to easing fears of disappointment, the right support can help your Grade 12 scholar stay motivated, focused and confident both during exams and as they prepare for life after school. 👉 Read the full guide here: https:// zurl.co/VkAdU # BabyYumYum # BYY # MatricExams # ParentingTips # ParentingSupport # ExamStress # Matric2025 # ParentingTeens # Matric # Prelims",,2025-08-26 08:30:02.075000+00:00,Yes,Education,Low
112203124544333082,"# exam # examstress # semesterexams # college # collegediaries okay, so today I got done with my uni internal exams, and I kid you not, the feeling of taking a nap after the exams is just out of this world; when you can come back stress-free, and there is nothing to worry about, you can eat nicely and binge your fav show. Its the most peaceful thing in the world. Do you agree with me?",,2024-04-02 18:50:08+00:00,Yes,Education,Low
117141524571791103,Managing back-to-school anxiety. Set small goals. Develop strategies to manage worries. Acknowledge feelings. Create an anxiety toolbox. Use motivators. Use YMHC’s “My Experience of School” workbook. https:// ymhc.ngo/workbooks # schoolanxiety # studentmentalhealth # anxiety # ymhc,,2026-08-22 22:30:12+00:00,Yes,Education,Medium
117119937157653687,Managing back-to-school anxiety. https:// ymhc.ngo/workbooks # anxiety # anxietyawareness # mentalhealth # mentalhealthmatters # studentmentalhealth # ymhc # schoolanxiety # copingskills # mentalwellness # mentalhealthawareness,,2026-08-19 03:00:14+00:00,Yes,Education,Medium
117111797736932988,Back-to-School Preparation: Managing School Anxiety https:// ymhc.me/schoolphobia # schoolanxiety # schoolattendancechallenges # schoolavoidance # schoolabsenteeism # educationsupportteam # schoolwidestrategy # youreducationmatters # SchoolAttendance # ymhc # studentmentalhealth # mentalhealthawareness,,2026-08-17 16:30:13+00:00,Yes,Education,Medium
117096934008070599,"Recognize absence & presence in school. Non-attendance at school due to unsupported mental health challenges is a red flag that a student needs an educational support team and a needs-based assessment and action plan, not an ""out of sight, out of mind"" approach. https:// ymhc.me/schoolphobia # schoolanxiety # schoolattendancechallenges # schoolavoidance # schoolabsenteeism # educationsupportteam # schoolwidestrategy # youreducationmatters # SchoolAttendance # ymhc # studentmentalhealth # mentalhealthmatters",,2026-08-15 01:30:14+00:00,Yes,Education,Low
117091625461508086,Back-to-School Anxiety: Strategies to Manage # schoolanxiety # schoolattendancechallenges # studentmentalhealth # anxiety # copingskills # healthyhabits # peersupport # ymhc,,2026-08-14 03:00:12+00:00,Yes,Education,Medium
117089148449098798,Tips for easing back-to-school anxiety # schoolanxiety # studentmentalhealth # anxiety # anxietyawareness # ymhc,,2026-08-13 16:30:16+00:00,Yes,Education,Medium
117077883103829521,"🎓💥 Oh, the University of Michigan's novel idea: suppressing first-semester grades to magically ""heal"" student mental health! Because nothing says ""academic excellence"" like removing accountability. 🤦‍♂️📉 wsj.com/us-news/education/univ ersity-of-michigan-grades-mental-health-1a5701d4 # UniversityOfMichigan # StudentMentalHealth # AcademicExcellence # AccountabilityIssues # HigherEducation # Innovations # HackerNews # ngated",,2026-08-11 16:45:22.248000+00:00,Yes,Education,Low
116913616697124308,Practical school-wide strategies for student mental wellness. https:// ymhc.ngo/ywap # ywap # onlinecourse # professionaldevelopment # selfpaced # certificate # teachers # educators # universalsupport # tier1 # wellness # studentmentalhealth # studentwellbeing # actionplan # proactive # ymhc,,2026-07-13 16:30:14+00:00,Yes,Education,Low
116761795645593853,Mental Health Education Saves Lives. Education Support Booklet. https:// ymhc.me/printables # mentalhealtheducation # toolsforwellness # MentalWellnessWorkbooks # ymhc # education # accommodations # studentmentalhealth # support,,2026-06-16 21:00:09+00:00,Yes,Education,Low
116737730717234405,Eating disorders at school: understanding mental health. https:// ymhc.ngo/workbooks # mentalhealth # studentmentalhealth # mentalhealthawareness # ymhc # mentalwellness # healthyhabits # education # copingskills,,2026-06-12 15:00:07+00:00,Yes,Education,Low
116737376638233930,Understanding and supporting students with school anxiety. # schoolanxiety # schoolattendancechallenges # schoolavoidance # schoolabsenteeism # educationsupportteam # schoolwidestrategy # youreducationmatters # SchoolAttendance # studentmentalhealth # mentalhealthawareness # ymhc,,2026-06-12 13:30:04+00:00,Yes,Education,Medium
