post_id,caption,timestamp,mental_health,category,severity
BSKY_001,telling your therapist things that make you look good instead of things that are true is a common mistake. disclosure nearly failed a semester of college cause I kept telling my psych everything s going great! when it was not,,Yes,Education,Medium
BSKY_002,"when I drew this I had given up studying calculus to draw it, today my grades came out, I failed and will have to do another semester... worth it tbh nsfw",,Yes,Education,Medium
BSKY_003,you're lh i was overwhelmed with school starting in 7th grade which was my covid year . i failed a good lot of classes my senior year of high school but did graduate. then in college everything fell apart i failed over half my classes and dropped out my second semester.,,Yes,Education,Medium
BSKY_004,Woke up to an email from my university saying I failed a class last semester which I was like No I got a B? My professor gave me a B? I just called and asked about it and the person on the phone was like there s a discrepancy but the academic advisement team isn t back until Monday to discuss,,Yes,Education,Medium
BSKY_005,"Way more students failed my class last semester than have done so historically, even when I tried to write easy exam questions. They just didn't have any practice during the semester, because they had AI do their homework, so they struggled in the in person exams.",,Yes,Education,Medium
BSKY_006,Also like I took this writing class. I refused to use ai to write my papers so I just straight up had writers block the entire semester and wrote a total of like no words at all and totally failed the class with a 0 two times. Am I proud? No. Am I proud that I didn t resort to AI? Yeah.,,Yes,Education,Medium
BSKY_007,absolutely failed my college classes one semester because i was addicted to link between worlds gamer,,Yes,Education,Medium
BSKY_008,I was planning on going back to school for fall semester but my decision paralysis may have fucked that. the only embarrassing thing about that is I have to tell everyone I failed,,Yes,Education,Medium
BSKY_009,"I completely understand, I failed a semester due to mental health. It was a lot of hard work but I eventually got back up on my feet. I know you can too",,Yes,Education,Medium
BSKY_010,"The number of times I saw students who had failed multiple classes in the first semester, come back from Christmas break talking about their new PS5 and all the clothes and other shit they got for the holidays always blew my mind.",,Yes,Education,Medium
BSKY_011,Hey so I failed my semester and now I need to pay my own tuition fee. Any help counts!,,Yes,Education,Medium
BSKY_012,"This semester for me was disastrous! LOL I SWORE I failed like two thirds of the exams for my classes and I have no idea how I stumbled across the end of this semester with two C's, a B, and a B lol Listen, whatever works. You did the thing!",,Yes,Education,Medium
BSKY_013,"I liked the reading in HS, hated the lessons and classes. I even failed a semester. Years later, however, I was among the editors of the lit textbook program used by my HS, a project I was placed on after the Adventures program was cancelled.",,Yes,Education,Medium
BSKY_014,"So I teach a remedial English communication course for students who failed last semester. One of them is a student who had failed my class. Still, he is miles more conversational than the others and I do take some pride that I likely contributed a bit to that.",,Yes,Education,Medium
BSKY_015,"I had a professor that I really liked. I'd defend her in front of other students that said that she was very strict and stuff. Last course in the semester, I had all my credits for graduation done, I failed her class because it was too much work for nothing. She said I was irresponsible",,Yes,Education,Medium
BSKY_016,"last semester i walked into my 19th century english lit exam, i needed to know WHEN WHERE specific place like a library or garden or whatever the fuck AND HOW AND WHO wrote a certain piece by getting a little excerpt we read over 100 texts in that class .. lets just say i failed that exam",,Yes,Education,Medium
BSKY_017,My GPA last term was 3.56 wtf??? And I bet it's gonna be even lower this term bc of my fuckass writing and research prof and bc I failed calc I wish I picked a different prof for writing and research bc genuinely what in the religious psychosis is going on with her,,Yes,Education,Medium
BSKY_018,"...and in education hold 90 minute meetings that take us away from teaching, grading, and our students, and then undercut us. Livid this morning because I learned that my admin plans to give a student an exam and will likely pass him after I failed him for doing NOTHING all semester.",,Yes,Education,Medium
BSKY_019,"My wife once again failed her weekly Steely Dan quiz. This time, she confused Your Gold Teeth with Your Gold Teeth 2. They're not even in the same time signature! At this rate, I do not have high hopes for her end of semester timed essay on Glamour Profession",,Yes,Education,Medium
BSKY_020,emailed asking if i can take a semester break in my masters program so naturally i'm telling myself i suck and failed,,Yes,Education,Medium
